"county","precinct","TRUMP","CLINTON","JOHNSON","voters_16","ballots_16","turnout_16","HANDEL","OSSOFF","voters_17","ballots_17","turnout_17","winner2016","winner2017","D2016","D2017","diff"
"DeKalb","TUCKER",871,1137,122,2611,2192,83.95,753,1041,2782,1796,64.56,"Clinton","Ossoff",43.38,41.97,-1.41
"DeKalb","TUCKER LIBRARY",546,1121,83,2245,1798,80.09,473,923,2420,1397,57.73,"Clinton","Ossoff",32.75,33.88,1.13
"DeKalb","WARREN TECH",260,524,31,1076,843,78.35,208,424,1162,632,54.39,"Clinton","Ossoff",33.16,32.91,-0.25
"DeKalb","WINTERS CHAPEL",486,512,57,1248,1084,86.86,462,454,1303,918,70.45,"Clinton","Handel",48.7,50.44,1.73999999999999
"Fulton","AP01A",732,587,44,1739,1393,80.1,619,457,1862,1076,57.79,"Trump","Handel",55.5,57.53,2.03
"Fulton","AP01B",203,247,30,685,492,71.82,123,167,729,290,39.78,"Clinton","Ossoff",45.11,42.41,-2.7
"Fulton","AP01C",831,655,84,1952,1608,82.38,693,532,2098,1227,58.48,"Trump","Handel",55.92,56.57,0.649999999999999
"Fulton","AP01D",222,293,29,713,554,77.7,159,198,792,357,45.08,"Clinton","Ossoff",43.11,44.54,1.43
"Fulton","AP021",1010,879,118,2491,2089,83.86,845,727,2707,1573,58.11,"Trump","Handel",53.47,53.75,0.280000000000001
"Fulton","AP022",677,706,77,1860,1490,80.11,494,594,2002,1090,54.45,"Clinton","Ossoff",48.95,45.4,-3.55
"Fulton","AP02B",122,109,7,352,246,69.89,89,92,377,181,48.01,"Trump","Ossoff",52.81,49.17,-3.64
"Fulton","AP03",96,298,12,619,417,67.37,52,184,694,236,34.01,"Clinton","Ossoff",24.37,22.03,-2.34
"Fulton","AP04A",731,439,59,1472,1252,85.05,638,397,1551,1035,66.73,"Trump","Handel",62.48,61.64,-0.839999999999996
"Fulton","AP04B",165,137,16,364,322,88.46,132,114,377,247,65.52,"Trump","Handel",54.64,53.66,-0.980000000000004
"Fulton","AP05",1793,1275,111,3956,3257,82.33,1499,991,4113,2490,60.54,"Trump","Handel",58.44,60.2,1.76000000000001
"Fulton","AP06",735,485,82,1647,1340,81.36,637,422,1744,1060,60.78,"Trump","Handel",60.25,60.15,-0.100000000000001
"Fulton","AP07A",1091,962,116,2853,2225,77.99,867,765,3053,1632,53.46,"Trump","Handel",53.14,53.12,-0.0200000000000031
"Fulton","AP07B",604,463,46,1353,1146,84.7,527,376,1466,903,61.6,"Trump","Handel",56.61,58.36,1.75
